Organization legal name or 'doing business as' name,Group PAC ID,State,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Footnote,Reporting Mechanism,Reported on PC Live Site
UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY,2264344480,OH,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,62,,WI,Y
UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY,2264344480,OH,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,99,,WI,Y
UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY,2264344480,OH,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,58,,WI,Y
UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY,2264344480,OH,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,100,,WI,Y
UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY,2264344480,OH,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,92,,WI,Y
UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY,2264344480,OH,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,92,,WI,Y
UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY,2264344480,OH,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,75,,WI,Y
UNIVERSITY OF CINCINNATI PHYSICIANS COMPANY,2264344480,OH,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,99,,WI,Y
CHASE DENNIS EMERGENCY MEDICAL GROUP INC,2264345172,CA,,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N,25,,REG,N
CHASE DENNIS EMERGENCY MEDICAL GROUP INC,2264345172,CA,,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,98,,REG,Y
ANESTHESIA SERVICES OF BENTON COUNTY PA,2264405844,AR,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,78,,REG,Y
ANESTHESIA SERVICES OF BENTON COUNTY PA,2264405844,AR,Y,PQRS_GRP_193_1,Perioperative Temperature Management,N,89,,REG,Y
ANESTHESIA SERVICES OF BENTON COUNTY PA,2264405844,AR,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,83,,REG,Y
ST JOSEPH MEDICAL GROUP INC,2264413491,IN,Y,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N,100,,REG,N
ST JOSEPH MEDICAL GROUP INC,2264413491,IN,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,3,,REG,N
ST JOSEPH MEDICAL GROUP INC,2264413491,IN,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,0,,REG,Y
ST JOSEPH MEDICAL GROUP INC,2264413491,IN,Y,PQRS_GRP_324_1,"Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients",Y,0,,REG,N
ST JOSEPH MEDICAL GROUP INC,2264413491,IN,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,0,,REG,Y
ST JOSEPH MEDICAL GROUP INC,2264413491,IN,Y,PQRS_GRP_334_1,Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),Y,0,,REG,N
ST JOSEPH MEDICAL GROUP INC,2264413491,IN,Y,PQRS_GRP_65_1,Appropriate Treatment for Children with Upper Respiratory Infection (URI),N,92,,REG,N
ST JOSEPH MEDICAL GROUP INC,2264413491,IN,Y,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy  Avoidance of Inappropriate Use,N,100,,REG,Y
ANESTHESIOLOGY SERVICES LTD,2264416254,AR,Y,PQRS_GRP_193_1,Perioperative Temperature Management,N,100,,REG,Y
ANESTHESIOLOGY SERVICES LTD,2264416254,AR,Y,PQRS_GRP_44_1,Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,N,84,,REG,Y
HEALTHQUEST MULTIDISCIPLINARY,2264433325,AR,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
HEALTHQUEST MULTIDISCIPLINARY,2264433325,AR,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,100,,REG,Y
HEALTHQUEST MULTIDISCIPLINARY,2264433325,AR,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
HEALTHQUEST MULTIDISCIPLINARY,2264433325,AR,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,100,,REG,Y
HEALTHQUEST MULTIDISCIPLINARY,2264433325,AR,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,27,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,1,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,7,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,7,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,,1,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,,1,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,48,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,100,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,100,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,,1,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,80,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,53,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,100,,WI,Y
TRI-CITY EXPRESS CARE PLLC,2264436377,AZ,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,,1,WI,Y
"PREMIER PHYSICAL THERAPY AND REHABILITATION OF JACKSONVILLE, INC",2264442318,FL,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,,REG,Y
"PREMIER PHYSICAL THERAPY AND REHABILITATION OF JACKSONVILLE, INC",2264442318,FL,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,96,,REG,Y
"PREMIER PHYSICAL THERAPY AND REHABILITATION OF JACKSONVILLE, INC",2264442318,FL,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,100,,REG,Y
"PREMIER PHYSICAL THERAPY AND REHABILITATION OF JACKSONVILLE, INC",2264442318,FL,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,96,,REG,Y
"PASCO HERNANDO HMA PHYSICIAN MANAGEMENT, LLC",2264451509,FL,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,82,,REG,Y
"PASCO HERNANDO HMA PHYSICIAN MANAGEMENT, LLC",2264451509,FL,Y,PQRS_GRP_334_1,Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),Y,2,,REG,N
PUNTA GORDA HMA PHYSICIAN MANAGEMENT LLC,2264531532,FL,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,0,,REG,Y
PUNTA GORDA HMA PHYSICIAN MANAGEMENT LLC,2264531532,FL,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,19,,REG,Y
COASTAL EAR NOSE AND THROAT LLC,2264536697,NJ,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
COASTAL EAR NOSE AND THROAT LLC,2264536697,NJ,Y,PQRS_GRP_334_1,Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),Y,1,,REG,N
EMERGENCY PHYSICIANS SOUTHWEST PC,2264538529,AZ,Y,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N,30,,REG,N
EMERGENCY PHYSICIANS SOUTHWEST PC,2264538529,AZ,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,98,,REG,Y
"INPATIENT CONSULTANTS OF GEORGIA, INC",2264539618,GA,Y,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N,95,,REG,Y
"INPATIENT CONSULTANTS OF GEORGIA, INC",2264539618,GA,Y,PQRS_GRP_47_1,Care Plan,N,65,,REG,Y
"INPATIENT CONSULTANTS OF GEORGIA, INC",2264539618,GA,Y,PQRS_GRP_5_1,Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,96,,REG,Y
RADIOLOGY ASSOCIATES OF EASTERN OKLAHOMA PLLC,2264601533,OK,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,78,,REG,Y
RADIOLOGY ASSOCIATES OF EASTERN OKLAHOMA PLLC,2264601533,OK,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,100,,REG,Y
RADIOLOGY ASSOCIATES OF EASTERN OKLAHOMA PLLC,2264601533,OK,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,34,,REG,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,74,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,77,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,65,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,66,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,27,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,79,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,82,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,99,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,40,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,90,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,98,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,73,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,70,,WI,Y
"PHELPS MEDICAL SERVICES, PC",2264614395,NY,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,96,,WI,Y
CAPITAL AREA PHYSICAL THERAPY PLLC,2264674324,NY,,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,,REG,Y
CAPITAL AREA PHYSICAL THERAPY PLLC,2264674324,NY,,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
"MSMC INTERVENTIONAL, LLC",2264686443,FL,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
"MSMC INTERVENTIONAL, LLC",2264686443,FL,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,100,,REG,Y
"MSMC INTERVENTIONAL, LLC",2264686443,FL,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,34,,REG,N
"MSMC INTERVENTIONAL, LLC",2264686443,FL,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,11,,REG,Y
"MSMC INTERVENTIONAL, LLC",2264686443,FL,Y,PQRS_GRP_46_2,Medication Reconciliation,N,98,,REG,Y
GUYMON PHYSICAL THERAPY AND WELLNESS PLLC,2264698810,OK,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,73,,REG,Y
GUYMON PHYSICAL THERAPY AND WELLNESS PLLC,2264698810,OK,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
BARTON COUNTY MEMORIAL HOSPITAL,2365333234,MO,Y,PQRS_GRP_193_1,Perioperative Temperature Management,N,100,,REG,Y
BARTON COUNTY MEMORIAL HOSPITAL,2365333234,MO,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,,REG,Y
BARTON COUNTY MEMORIAL HOSPITAL,2365333234,MO,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,100,,REG,Y
BARTON COUNTY MEMORIAL HOSPITAL,2365333234,MO,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,78,,REG,Y
WINTHROP PULMONARY ASSOCIATES PC,2365334067,NY,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,16,,REG,N
WINTHROP PULMONARY ASSOCIATES PC,2365334067,NY,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,3,,REG,Y
VERMONT SPORTS MEDICINE CENTER,2365334810,VT,Y,PQRS_GRP_126_1,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy  Neurological Evaluation",N,91,,REG,Y
VERMONT SPORTS MEDICINE CENTER,2365334810,VT,Y,PQRS_GRP_127_1,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Ulcer Prevention  Evaluation of Footwear",N,91,,REG,Y
VERMONT SPORTS MEDICINE CENTER,2365334810,VT,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,,REG,Y
VERMONT SPORTS MEDICINE CENTER,2365334810,VT,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,88,,REG,Y
VERMONT SPORTS MEDICINE CENTER,2365334810,VT,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,76,,REG,Y
VERMONT SPORTS MEDICINE CENTER,2365334810,VT,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,98,,REG,Y
VERMONT SPORTS MEDICINE CENTER,2365334810,VT,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,96,,REG,Y
VERMONT SPORTS MEDICINE CENTER,2365334810,VT,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
VIRGINIA UROLOGY CENTER,2365339264,VA,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,23,,REG,Y
VIRGINIA UROLOGY CENTER,2365339264,VA,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,98,,REG,Y
VIRGINIA UROLOGY CENTER,2365339264,VA,Y,PQRS_GRP_50_1,Urinary Incontinence: Plan of Care for Urinary Incontinence in Women Aged 65 Years and Older,N,100,,REG,Y
"CREATIVE HEALTH SERVICES, INC",2365340528,PA,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
"CREATIVE HEALTH SERVICES, INC",2365340528,PA,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,100,,REG,Y
"CREATIVE HEALTH SERVICES, INC",2365340528,PA,Y,PQRS_GRP_383_1,Adherence to Antipsychotic Medications for Individuals with Schizophrenia,N,100,,REG,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,67,,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,67,,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,,1,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,19,,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,,1,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,,1,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,57,,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,100,,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,16,,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,,1,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,91,,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,97,,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,66,,WI,Y
"ANDROSCOGGIN VALLEY HOSPITAL, INC.",2365350725,NH,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,,1,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,61,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,61,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,62,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,62,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,23,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,87,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,46,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,95,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,2,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,88,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,91,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,65,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,14,,WI,Y
SOUTHERN ILLINOIS UNIVERSITY HEALTHCARE,2365352820,IL,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,96,,WI,Y
UNIVERSITY OF OKLAHOMA HEAL SCI CTR COLLEGE OF MEDICINE OPHTHALMOLOGY,2365354511,OK,Y,PQRS_GRP_12_1,Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation:,N,98,,REG,Y
UNIVERSITY OF OKLAHOMA HEAL SCI CTR COLLEGE OF MEDICINE OPHTHALMOLOGY,2365354511,OK,Y,PQRS_GRP_140_1,Age-Related Macular Degeneration (AMD): Counseling on Antioxidant Supplement,N,100,,REG,Y
UNIVERSITY OF OKLAHOMA HEAL SCI CTR COLLEGE OF MEDICINE OPHTHALMOLOGY,2365354511,OK,Y,PQRS_GRP_141_1,Primary Open-Angle Glaucoma (POAG): Reduction of Intraocular Pressure (IOP) by 15% OR Documentation of a Plan of Care,N,100,,REG,Y
UNIVERSITY OF OKLAHOMA HEAL SCI CTR COLLEGE OF MEDICINE OPHTHALMOLOGY,2365354511,OK,Y,PQRS_GRP_14_1,Age-Related Macular Degeneration (AMD): Dilated Macular Examination,N,100,,REG,Y
UNIVERSITY OF OKLAHOMA HEAL SCI CTR COLLEGE OF MEDICINE OPHTHALMOLOGY,2365354511,OK,Y,PQRS_GRP_19_1,Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care,N,100,,REG,Y
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,OK,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,88,,REG,Y
"DELAWARE VALLEY I.D. ASSOCIATES, P.C.",2365421161,PA,Y,PQRS_GRP_122_1,Adult Kidney Disease: Blood Pressure Management,N,77,,REG,N
"DELAWARE VALLEY I.D. ASSOCIATES, P.C.",2365421161,PA,Y,PQRS_GRP_122_3,Adult Kidney Disease: Blood Pressure Management,N,100,,REG,Y
"DELAWARE VALLEY I.D. ASSOCIATES, P.C.",2365421161,PA,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,70,,REG,Y
"DELAWARE VALLEY I.D. ASSOCIATES, P.C.",2365421161,PA,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,91,,REG,Y
JAMES F. PIONTEK INC.,2365425865,MO,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,56,,REG,Y
JAMES F. PIONTEK INC.,2365425865,MO,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,48,,REG,Y
JAMES F. PIONTEK INC.,2365425865,MO,Y,PQRS_GRP_193_1,Perioperative Temperature Management,N,97,,REG,Y
JAMES F. PIONTEK INC.,2365425865,MO,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,87,,REG,Y
"MEMORIAL HOSPITAL, INC.",2365433224,WI,Y,PQRS_GRP_122_1,Adult Kidney Disease: Blood Pressure Management,N,35,,REG,N
"MEMORIAL HOSPITAL, INC.",2365433224,WI,Y,PQRS_GRP_122_3,Adult Kidney Disease: Blood Pressure Management,N,35,,REG,Y
UNIVERSITY OF MIAMI,2365448289,FL,Y,PQRS_GRP_144_1,Oncology: Medical and Radiation  Plan of Care for Pain,N,75,,REG,Y
UNIVERSITY OF MIAMI,2365448289,FL,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,78,,REG,Y
UNIVERSITY OF MIAMI,2365448289,FL,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,95,,REG,Y
UNIVERSITY OF MIAMI,2365448289,FL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,96,,REG,Y
UNIVERSITY OF MIAMI,2365448289,FL,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,95,,REG,Y
NORTH COAST FAMILY MEDICAL GROUP,2365491719,CA,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,61,,REG,Y
JEFFERSON DAVIS EMERGENCY GROUP LLC,2365496775,LA,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,98,,REG,Y
